TF | No. de genes que regula | Genes regulados | + | -
RutR | 17 | carA, carB, fepB, gadW, gadX, rutR, rutG, rutF, rutE, rutD, rutC, rutB, rutA, pdeR, nemR, nemA, gloA | 2 | 15
SutR | 7 | cysE, pfkB, fliA, fliZ, ypfN, ydcO, tcyJ | 1 | 6
GlrR | 6 | rpoE, rseA, rseD, glmY, rseC, rseB | 6 | 0
AppY | 10 | appA, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, appB, appC, appX | 10 | 0
QseB | 13 | dnaA, fimA, fimC, fimD, fimF, fimG, fimH, flhC, flhD, fimI, qseC, fimR2, qseB | 12 | 1
CRP | 538 | modB, dcuB, zraS, aceA, aceB, aceE, aceF, aceK, agp, aldA, puuC, ampD, ampE, ansB, araA, araB, araC, araD, araE, araF, araG, araH, argG, aroA, ascB, ascF, aspA, bglB, bglF, bglG, chbB, chbC, chbA, chbR, chbF, modC, cirA, cpdB, cstA, cyaA, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, dksA, dsdA, dsdX, ebgA, ebgC, entA, entB, entC, entD, entE, entF, fadL, fbaA, fecA, fecB, fecC, fecD, fecE, fepA, flhC, flhD, fucA, fucI, fucK, fucO, fucP, fucR, fucU, fumA, fumB, fumC, fur, gabT, galS, gapA, epd, gcd, gcvH, gdhA, glgA, glgC, glgP, glpA, glpB, glpC, glpD, glpE, glpF, glpG, glpK, glpQ, glpR, glpT, gltA, gltB, gltD, grpE, guaA, guaB, gyrA, hflC, hflK, hflX, hfq, htpG, hupA, hupB, zraR, ilvB, ilvN, infB, rpoS, lacI, lamB, malE, malF, malG, malK, malM, malT, malX, malY, manX, manY, manZ, mazE, mdh, melA, melB, metK, mglA, mglB, mglC, mtlA, mtlD, nanA, nirB, nirC, nirD, nmpC, nrdA, nrdB, nusA, ompA, ompF, oxyR, pflB, pgk, pncB, pnp, priB, ptsG, purH, putP, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, relA, rhaR, rhaS, rplI, rplM, rpsF, rpsI, rpsO, rpsR, sdhA, sdhB, sdhC, sdhD, secB, serA, serC, sfsA, sodA, sodB, sohB, speC, srlE, srlB, srlD, gutM, gutQ, srlR, sucA, sucB, sucC, sucD, tdcA, tdcB, tdcC, tnaA, tnaB, trg, trxA, ugpA, ugpB, ugpC, ugpE, ugpQ, uhpT, uidA, uxaB, uxuA, xseA, xylA, xylB, xylE, pdhR, entH, cspD, ompW, ubiG, hyfA, raiA, ygeA, tdcD, truB, rbfA, rimP, psiE, dcuA, melR, mazF, focA, ivbL, tnaC, hyfB, preA, rhaT, malS, acnA, gabD, gabP, glgS, osmY, treC, marA, marR, gcvT, acs, narQ, gadB, gltF, glpX, fadD, ychH, gadE, nadC, caiD, caiC, caiB, caiA, caiT, fixA, fixB, fixC, fixX, marB, psuK, uidB, grcA, hofC, gcvP, puuB, rhaD, rhaA, rhaB, sbmC, rpoE, aphA, actP, yjcH, mtlR, nupC, yehA, yehB, yehC, yehD, psuG, efpL, hofB, ppdD, treB, nlpE, galP, idnK, cspE, chbG, mdtE, mdtF, gadX, xylG, xylH, plaR, yiaK, yiaL, yiaM, yiaN, yiaO, lyxK, sgbH, sgbU, sgbE, aldB, acnB, rseA, arfB, ybgD, yfaE, gntT, lhgD, aegA, gatA, gatB, gatC, gatD, gatY, modA, puuR, mpl, ulaB, ulaC, cycA, idnT, sgcA, sgcC, sgcX, gntP, caiE, gntK, gntU, cas3, uxaA, exuT, exuR, agaA, cas2, frlA, dctA, dgoA, dgoK, dgoT, gpsA, hpt, uxuB, uxuR, xylF, xylR, metY, spf, rmf, gadA, sgcB, hicA, yeiW, azuC, ykgR, gadF, rseD, sdhX, rbsZ, raiZ, malH, chiZ, aspX, uhpU, xylZ, azuR, spfP, csrC, cyaR, mcaS, sroD, fadH, yaeP, nanT, caiF, rof, yaeQ, yahN, prpR, prpB, prpC, prpD, prpE, mhpR, mhpE, sfmA, citG, citX, citF, citE, citD, citC, dpiB, dpiA, rihA, chiP, chiQ, b0725, fiu, elfA, csgG, csgF, csgE, csgD, comR, bhsA, hlyE, puuD, puuE, abgR, feaR, paaZ, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, mokB, hicB, ortT, gadC, lsrK, lsrR, lsrA, lsrC, lsrD, lsrB, lsrF, lsrG, tam, rspB, rspA, bidA, uidC, gatZ, preT, yfcV, murQ, murP, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, focB, csiE, rseC, rseB, patZ, glaH, cas1, casE, casD, casC, casB, casA, ygcW, yqeF, ygeW, glcC, aer, tdcG, tdcF, tdcE, kbaZ, agaV, agaW, yraH, nanQ, nanK, nanE, aaeB, aaeA, aaeX, aaeR, frlB, frlC, frlD, frlR, hofP, hofO, hofN, hofM, yhgH, nfuA, dgoR, dcuR, ulaA, ulaD, ulaE, ulaF, ytfK, idnR, idnO, idnD, yjhG, yjhH, yjhI, sgcR, sgcE, sgcQ, nanS, nanM, nanC, btsT, lgoR, lgoD, feaB, uxaC, srlA, dgoD, mhpA, mhpB, mhpC, mhpD, mhpF | 446 | 92
DksA | 158 | argI, dksA, dnaG, fabH, fadR, fimB, fis, mutM, fusA, ihfA, ihfB, hisA, hisB, hisC, hisD, hisF, hisG, hisH, hisI, hmp, infC, rpoS, livJ, pcnB, pheS, pheT, secY, recG, rplA, rplB, rplC, rplD, rplE, rplF, rplJ, rplK, rplL, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplT, rplV, rplW, rplX, rplY, rpmB, rpmC, rpmD, rpmG, rpoA, rpoB, rpoC, rpoD, rpoZ, rpsA, rpsC, rpsD, rpsE, rpsG, rpsH, rpsI, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsP, rpsQ, rpsS, rpsT, rpsU, spoT, trmH, thrA, thrB, thrC, thrS, trmD, tufA, rimM, rpmI, rpmJ, iraP, hisL, pheM, thrL, dusB, fabD, fabG, gluQ, folK, csrA, yhbE, thiQ, thiP, thiB, setA, talA, rpoE, sgrR, tktB, rseA, alaT, alaU, alaV, gltT, gltU, gltV, gltW, ileT, ileU, ileV, rrfA, rrfB, rrfC, rrfD, rrfE, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rrfF, thrV, rplU, rpmA, sgrT, idlP, ytiC, ytiD, csrB, csrC, rybB, isrC, sroA, sgrS, hlyE, dsrA, flu, rseC, rseB, obgE, iraD | 41 | 117
RbsR | 12 | add, purD, purH, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, dcd, udk, rbsZ | 3 | 9
SrlR | 7 | srlE, srlB, srlD, gutM, gutQ, srlR, srlA | 0 | 7
GlpR | 9 | glpA, glpB, glpC, glpD, glpF, glpK, glpQ, glpT, glpX | 0 | 9
BirA | 5 | bioA, bioB, bioC, bioD, bioF | 0 | 5
Cra | 109 | aceA, aceB, aceE, aceF, aceK, adhE, aroP, betA, betB, betI, betT, crp, cydA, cydB, cysG, eda, edd, eno, fbaA, fbp, fruA, fruK, gapA, epd, icd, lpd, metE, nirB, nirC, nirD, pck, pfkA, pgk, poxB, ppc, ppsA, pykF, tpiA, pdhR, ppsR, raiA, zwf, pdeL, acnA, ychE, treC, marA, marR, nikR, hypF, marB, setA, nuoM, nuoF, nikA, nikB, nikC, nikD, nikE, nuoA, nuoB, nuoC, nuoE, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoN, treB, gpmM, envC, yibQ, ssuB, nrdF, msrB, mpl, nrdE, sgrT, sgrS, prpB, prpC, prpD, prpE, ssuC, ssuD, ssuA, ssuE, csgG, csgF, csgE, csgD, fumD, yeaC, yeaD, tmaR, mdtA, fbaB, nrdH, nrdI, glcC, yhfS, yhfT, yhfU, php, yhfW, yhfX, fruB | 49 | 60
NorR | 3 | norR, norW, norV | 2 | 1
GadX | 30 | asnB, btuB, cadA, cadB, hns, rpoS, lon, murI, uspE, gadB, hdeD, gadE, amtB, dctR, slp, glnK, mdtE, mdtF, gadX, gadA, gadF, gadY, glsA, ybaT, gadC, ydeM, ydeN, ynfB, speG, dtpA | 23 | 7
SoxS | 54 | aldA, cadA, dapD, lpxC, fldA, fumC, fur, lpxL, map, fpr, nfo, pgi, poxB, ptsG, rimK, sodA, soxS, tolC, ompW, ygiB, ygiC, zwf, nfsA, acnA, ribA, rob, glnD, inaA, waaY, waaZ, marA, marR, marB, nepI, acrA, acrB, pbpG, mdaB, fldB, ybjC, micF, nfsB, uof, decR, acrZ, ybjN, pqiA, pqiB, pqiC, ompN, ydbK, zinT, yhbW, yrbL | 50 | 4
CRP-Sxy | 1 | sxy | 1 | 0
YfeC | 6 | rpmB, rpmH, rpsU, yfeC, hybE, ygdR | 1 | 5
DicD | 3 | dicA, dicB, dicC | 0 | 3
LldR | 8 | fadL, gadW, gadY, fadE, yfdY, lpxP, glcD, yhcO | 8 | 0
AsnC | 4 | asnA, asnC, mnmG, mioC | 1 | 3
LysR | 2 | lysA, lysR | 1 | 1
AscG | 5 | ascB, ascF, htpG, prpR, ybiT | 0 | 5
DpiA | 11 | appY, mdh, exuT, citG, citX, citF, citE, citD, citC, dpiB, dpiA | 10 | 1
Nac | 529 | ispB, aceB, ackA, amn, ampD, cysQ, ansB, araE, araF, aroD, aroE, aroF, asnA, asnC, bfr, bglB, bisC, cheA, moeA, cpdB, cynT, cysJ, cysS, dapB, dcm, dcp, ddlA, deoR, dld, dnaA, acrE, fepE, fliC, fucA, gabT, gdhA, mnmG, glpK, gltA, gltB, gltD, gltP, gor, hemB, hemH, hfq, htpG, htpX, hupA, icd, ilvN, infA, intD, katG, kbl, kdsA, lepA, lepB, leuO, livH, livK, livM, lrp, lysA, lysR, lysU, malI, malY, map, mcrB, metE, metR, mglA, mglB, groS, mreC, narK, narX, nusA, nusB, ompA, ompR, ompT, oppA, oppC, osmB, pfkB, phoB, pstS, pldA, pntA, pntB, polA, ppc, ppiB, pstC, ptrA, pyrB, rcsA, rep, rfaH, fliD, rpmH, rpoZ, sdaA, sdhA, sdhB, sdhC, sdhD, sdiA, serA, gmk, srlR, tdcA, tdcR, thrS, tnaA, tnaB, tolB, trxB, uhpA, sbcD, yajD, ybgC, uvrY, xapR, ppdC, ygdB, argO, yhaB, rimP, mscL, bfd, mioC, ydiB, pdeL, ycaC, ycaD, chpS, ychA, iraP, yifB, ilvL, tnaC, pyrL, leuL, wzzE, dsbA, codA, codB, gabD, gabP, ligB, lysP, waaG, mdtG, gspO, amiB, bglH, ubiA, ahpC, uspA, osmY, dadA, glnD, cynR, msrA, marR, gcvT, yigI, yigL, pabC, holE, yhcA, ycgB, ybfC, cfa, ibpA, wrbA, gadE, nadC, greB, moaB, ygiF, evgA, eptA, eamA, ydeE, yafC, moaC, yadC, yicJ, nudC, yidQ, yieE, yieH, cbrB, cbrC, yieP, phoH, rsd, nfrB, ybbC, gmd, fcl, cmtB, cmtA, rlmM, hofC, torA, mobA, yihD, hemN, yihL, yihO, yihQ, yiiE, yiiF, fdoG, fdhD, yijO, yjaH, yjbB, yjbQ, yjcB, pdeC, yjcF, nrfF, nrfG, yjcO, htrE, rfbC, yehE, bglX, yeiH, yejB, yejG, lapC, ccmH, ccmB, ccmA, napC, napB, secG, yeiE, prfC, rhtA, nlpE, yaeF, cobT, gspM, ygaC, cspC, waaF, yhhQ, yhiJ, mdtF, gadX, yhjD, yhjE, yiaD, wecH, yadM, cdaR, yfaE, ygiL, ppnN, yecD, yecE, glaR, ybgE, iaaA, rfbB, tomB, ygiM, yfiL, prmB, yjeM, cycA, ybaL, ygiN, lpxH, ycaK, ygjI, exuT, kbaY, yecF, pitB, cobU, argU, asnT, asnV, leuU, metY, selC, spf, rplU, yohO, yciZ, sibE, shoB, ecnA, sibA, mgtS, tff, micC, yoeB, ecnB, torI, caiF, yafV, ivy, dpaA, yafQ, dinJ, yafN, yafO, yagU, ykgL, ykgE, ykgH, yaiS, tauA, yaiY, yaiZ, thiL, yajO, allR, allW, glxK, ybcK, ybcV, dsbG, uspG, ybdR, nadD, ybeQ, ybeR, ybeT, ybeU, ybhD, ybhH, ybhI, ybhM, mcbA, rlmF, ybjP, ybjX, macA, ycaN, ssuE, elfA, elfG, yccM, rutB, pgaA, dgcT, bssS, rluE, ycgX, ycgJ, dhaK, dhaR, ycgV, ymjA, abgA, abgR, ydaT, ydaU, ynaK, stfR, tfaR, pinR, ompN, ydcI, ydcS, ydcT, ydcU, ydcV, patD, ortT, ydcY, ydcZ, curA, ansP, ddpC, ydeP, ydeQ, yneK, ydfK, pinQ, tfaQ, ydfR, ynfA, ynfB, ynfD, ynfE, ynfF, ynfG, bidA, ydgH, fumD, ydiL, ydiM, ydiO, ydiP, rflP, ydiY, yniB, hxpB, cho, ynjF, nudG, ynjH, yobF, kdgR, yebQ, rsmF, yobB, znuA, uspC, ftnB, dcyD, yedL, hchA, hprR, mtfA, shiA, nac, yeeZ, ugd, wcaF, wcaE, wzc, wzb, wza, yegH, yegL, yegR, yfbK, yfbL, yfbV, yfcO, yfcP, emrK, yfdE, yfdV, alaC, mntH, pdxK, yfeK, yfeS, eutS, pdeF, yfgG, yfgH, csiE, hcaR, yfhL, yfiR, yfjI, abpA, rnlB, ileY, ygaV, ygaP, ygaM, ygaZ, pphB, ispD, queD, ygcO, ygcP, ygcS, ygcE, gudX, queF, ygdR, kduI, yqeH, yqeJ, yqeK, ygeG, xdhA, yqeB, scpB, srsR, yggP, yghG, glcA, yghS, yghT, dkgA, ygiZ, ygjH, yhaI, yraH, ubiT, ubiU, yhbX, yhcC, yhcD, nanK, yhdV, gspG, gspH, yhfL, yhfZ, yhhZ, yrhB, insK, yjeH, yjeJ, blc, yjfZ, ytfB, fklB, ytfJ, ytfK, ytfP, yjgH, yjgM, yjgN, yjhI, fhuF, feaB, nrdG, uxaC, hcaE | 162 | 367
IscR | 33 | hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, sufA, napC, napB, napH, napG, napA, napF, iscA, napD, erpA, nrdF, nrdE, torT, sufE, sufS, sufD, sufC, sufB, selO, iscU, iscS, iscR, rnlA, rnlB, nrdH, nrdI, nfuA | 11 | 22
YgbI | 2 | ygbJ, ygbK | 0 | 2
RacR | 6 | ydaS, ydaT, ydaU, ydaV, ydaW, rzpR | 0 | 6
CusR | 14 | cyoA, cyoB, cyoC, cyoD, cyoE, cusA, cusS, cusR, cusC, cusF, cusB, hiuH, msrP, msrQ | 14 | 0
MalI | 3 | malI, malX, malY | 0 | 3
Lrp | 310 | cydC, aceB, alaS, arcB, argA, argS, argT, asnA, asnB, aspC, aspS, atpA, atpH, btuE, cadA, cadB, clpP, cysB, deaD, dedA, deoB, eco, eno, exbB, fadL, fimA, fimC, fimD, fimE, fimF, fimG, fimH, frdA, frdB, ftsQ, fumA, gabT, gcvH, gdhA, glgC, glnA, glnH, glnL, glnQ, gltB, gltD, gltP, gpt, lpxL, ilvA, ilvD, ilvE, ilvM, livF, livG, livH, livM, lrp, lysU, malT, manA, metH, metK, groS, msbA, mtr, mutY, nusB, ompC, ompT, oppA, oppB, oppC, oppD, oppF, pabB, pal, pepD, phoA, pncB, pntA, polA, ppsA, pyrI, relA, rplF, rpoN, rpsH, sdaA, serB, serS, ytjB, prlF, soxS, sulA, tdh, topA, treA, trxB, ybgA, trhO, yceB, yfiB, fau, argO, mscS, yhhA, rdcA, creA, uspE, iraP, thrL, leuL, lipA, ribE, gabD, gabP, upp, ychE, mnmA, ubiA, osmY, hdeA, hdeB, yhiD, dadX, sthA, rpiA, wecB, rhtB, gadB, rlmE, ppk, gltF, ibpA, ibpB, stpA, thiC, proP, ydeE, dgcZ, slyX, hpf, ptsN, yicH, emrD, phoH, rsd, yebF, purT, gcvP, aidB, rpiB, yiiM, menA, yjbJ, pspG, aphA, yjbQ, yjbR, yibL, zntR, yhdN, htrE, fimI, yehL, yeiL, radD, napF, mqo, yojI, nuoA, lrhA, sdaC, brnQ, glnK, chbG, yhiM, dtpB, yhjE, bipP, yhjR, eptB, can, rseA, lhgD, ybiI, ybiJ, modA, ycfJ, yjeM, cycA, yacL, yabQ, yiaG, sstT, yhbY, yhdW, cpoB, yciN, alaT, alaU, alaV, gltT, gltU, gltV, gltW, ileT, ileU, ileV, metT, micF, rrfA, rrfB, rrfC, rrfD, rrfE, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rrfF, ssrS, thrV, yibT, yciZ, ilvX, yoeG, fimR2, gadY, sroH, ldhA, yaaX, yaeQ, yagU, ykgE, yaiY, mscK, borD, ybdG, ybdF, ybdL, insH3, ybeX, zitB, pgl, ybiO, ybiT, ybjN, ybjS, ybjX, clpS, lolA, ycaM, hspQ, bssS, lolC, hlyE, dhaK, yciT, ydcK, ydcL, ydeN, sad, ydgH, dtpA, ydhQ, ynjH, yeaE, yeaG, dgcJ, leuE, yoaH, dgcQ, yodC, cbl, nac, yfaP, yfcC, yfcZ, zipA, intZ, glaH, amiC, yqeF, yqeG, qseB, insC5, aer, yhcN, yhdV, yzgL, yjeH, yjfP, ytfK, yjiC, iraD, ilvG | 130 | 180
BaeR | 9 | acrD, ycaC, baeS, baeR, mdtD, spy, mdtA, mdtB, mdtC | 9 | 0
FrlR | 5 | frlA, frlB, frlC, frlD, frlR | 0 | 5
YgaV | 4 | cirA, fhuE, nfeF, fhuF | 4 | 0
GalS | 6 | galR, galS, mglA, mglB, mglC, galP | 0 | 6
ExuR | 10 | uxaB, uxuA, uxaA, exuT, exuR, uxuB, uxuR, lgoR, lgoD, uxaC | 0 | 10
TrpR | 12 | aroH, aroL, aroM, mtr, trpA, trpB, trpC, trpD, trpE, trpR, yaiA, trpL | 0 | 12
EnvR | 2 | acrA, acrB | 0 | 2
HprR | 14 | cyoA, cyoB, cyoC, cyoD, cyoE, cusA, cusS, cusR, cusC, cusF, cusB, hiuH, msrP, msrQ | 9 | 5
XapR | 2 | xapB, xapA | 2 | 0
YhaJ | 8 | ygiD, ybiJ, bssS, yqjF, yhaJ, yhaK, yhaL, yhhW | 8 | 0
HU | 9 | galE, galK, galT, mtr, tyrP, galM, pgm, seqA, micF | 1 | 8
RhaR | 2 | rhaR, rhaS | 2 | 0
DgoR | 5 | dgoA, dgoK, dgoT, dgoR, dgoD | 0 | 5
DcuR | 13 | dcuB, aspA, frdA, frdB, frdC, frdD, fumB, pck, dcuA, dctA, aspX, dpiB, dpiA | 13 | 0
ZntR | 2 | rsd, rmf | 0 | 2
Rob | 52 | aldA, aslB, dapD, fadA, fadB, fadL, fumC, lpxL, map, narG, nfo, rimK, sodA, tolC, ygiB, ygiC, zwf, nfsA, acnA, rob, mltF, glgS, glnD, inaA, waaY, waaZ, marA, marR, acs, fadD, marB, acrA, acrB, actP, yjcH, mdtD, yacH, chaC, yiaG, mdaB, ybjC, micF, nfsB, acrZ, ldtB, ybiT, ybjN, ydcL, astC, elaB, yhbO, yhbW | 40 | 12
XylR | 9 | araC, xylA, xylB, xylE, xylG, xylH, xylF, xylR, xylZ | 8 | 1
GadE | 34 | cyoA, cyoB, cyoC, cyoD, cyoE, lpxD, fliC, gltB, gltD, gnd, skp, lpxA, lrp, purA, rcsA, fabZ, hdeA, hdeB, yhiD, gadB, hdeD, gltF, gadE, yjbQ, yjbR, yhiM, mdtE, mdtF, gadW, gadX, gadF, gndA, fliX, gadC | 34 | 0
Fur | 269 | garL, adk, ansB, araB, araF, argF, argG, argR, aspC, bfr, cadC, cirA, cyoA, cyoB, cyoC, cyoD, cyoE, dapB, dmsA, dmsB, dmsC, entA, entB, entC, entD, entE, entF, exbB, exbD, fecA, fecB, fecC, fecD, fecE, fecI, fecR, fepA, fepB, fepC, fepD, fepE, fepG, fes, fhuA, fhuB, fhuC, fhuD, fhuE, flhC, flhD, fnr, fumB, fumC, fur, glnG, glnL, glpF, glpK, gltB, gltD, gnd, hmp, katE, rpoS, katG, manX, manY, manZ, map, mdh, metH, metJ, mglB, ndh, nth, ompF, oppA, oppB, oppC, oppD, pstB, purL, purR, pyrC, recN, rimK, ftnA, sdiA, serS, sodA, soxR, soxS, sucA, sucB, sucC, sucD, sulA, tsx, udp, ugpA, ugpB, ugpE, uxaB, uxuA, entH, ompW, garK, garR, bfd, zwf, acnA, lysP, gspO, sufA, glnD, waaL, narQ, rmuC, qorA, gltF, flgL, leuD, moaA, sseB, yciI, nohA, eamA, gpmA, mdtL, phoH, efeB, rsd, yddA, yddB, grcA, yihN, yihX, zapB, pepE, yjbJ, actP, yjcH, yejG, mqo, yojI, feoA, feoB, ydcF, hscA, punC, narU, gspM, ygaC, yhjE, erpA, tcyN, nrdF, ydiE, dppB, dppC, dppD, dppF, grxB, garP, ybaN, feoC, uxuB, nrdE, rnpB, rmf, ybdZ, yjjZ, mntS, esrE, gndA, sdhX, ryhB, tisB, dinB, xynR, tauA, tauB, tauC, cusC, b0725, ybiX, fiu, ybiU, rimO, bssR, efeU, efeO, ycgR, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, ortT, pqqU, yncE, adhP, ydeN, tfaQ, stfQ, ynfD, tqsA, rsxA, rsxB, rsxC, rsxD, rsxG, rsxE, sufE, sufS, sufD, sufC, sufB, selO, yobD, mntP, ftnB, zinT, nac, yoeA, rcnA, rcnB, yfcV, mntH, maeB, pdeF, hcaR, nrdH, nrdI, yqeB, yqeC, mocA, yghF, hybO, yghW, gpr, yqhD, dkgA, nfeF, nfeR, yrbL, yhcC, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, yhhY, yjiR, yjiT, bglJ, fhuF, uxaC | 77 | 192
MntR | 5 | dps, mntS, rybA, mntP, mntH | 1 | 4
PepA | 3 | carA, carB, pepA | 0 | 3
SoxR | 8 | aroF, fumC, sodA, soxR, soxS, tyrA, yjcB, yrbL | 7 | 1
ArcA | 226 | dcuB, cydC, aceA, aceB, aceE, aceF, aceK, ackA, aldA, puuC, appA, appY, arcA, argR, argT, betA, betB, betI, betT, cadA, cadB, carA, moeA, moeB, cydA, cydB, cyoA, cyoB, cyoC, cyoD, cyoE, dppA, fadA, fadB, fadL, fnr, fumA, fumB, fumC, glpA, glpB, glpC, glpD, glpE, gltA, hemA, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, icd, rpoS, kdpA, kgtP, lpd, manA, mdh, ndh, ndk, oppB, oppC, oppD, oppF, pepN, pflB, pldA, pncB, pntA, prfA, ptsG, putA, putP, rho, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpsC, rpsJ, rpsQ, rpsS, sodA, ssb, thrA, uvrA, xthA, ompW, dcuA, rhaT, acnA, ubiC, ubiA, folE, appB, appC, osmY, dsbB, treC, cydD, sthA, yigI, ybfA, fadD, gadE, caiD, caiC, caiB, caiA, caiT, thiC, potF, ydeA, yieE, phoH, rsd, nuoM, nuoF, grcA, yfiF, hybA, hybB, hybC, hybD, hybE, hybF, hybG, puuB, lldP, lldR, lldD, nupC, yeiQ, yejG, mqo, nuoA, nuoB, nuoC, nuoE, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoN, feoA, treB, gadX, yhjE, acnB, msrB, gatA, gatB, gatC, gatD, gatY, prmC, puuR, cycA, caiE, sstT, dctA, glcB, xylR, micF, acpP, rmf, gadA, appX, gadF, ymjE, glcF, gcvB, arcZ, sroD, fadH, fadE, ybdN, citG, citX, citF, citE, citD, citC, dpiB, dpiA, dcuC, ybiU, rutG, rutF, rutE, rutD, rutC, rutB, rutA, iraM, puuP, puuA, puuD, puuE, tpx, ynaJ, pqqU, yncE, ydgC, rstA, gatZ, fadJ, fadI, pyrS, glaH, glcA, glcG, glcE, glcD, glcC, hybO, nudE, igaA, yhgE, yjiR | 72 | 154
PhoB | 60 | agp, amn, eda, cra, argP, ompF, phnC, phnD, phnF, phnG, phnH, phnI, phnJ, phnK, phnL, phnM, phnN, phnO, phnP, phoA, phoB, phoE, phoQ, phoR, pstS, phoU, pstA, pstB, pstC, sbcC, sbcD, psiE, waaH, phnE1, psiF, phoH, tktB, gadW, gadX, rcdB, cusA, adiC, pitB, yibT, prpR, cusS, cusR, cusC, cusF, cusB, feaR, rspR, asr, mipA, yoaI, hiuH, msrP, msrQ, yegH, ytfK | 52 | 8
AlpA | 3 | phoB, phoR, intA | 1 | 2
PgrR | 9 | tyrR, ycjF, ymjC, ymjD, ycjX, ycjG, mpaA, ycjY, mppA | 0 | 9
PlaR | 14 | eda, glpA, glpT, plaR, yiaK, yiaL, yiaM, yiaN, yiaO, lyxK, sgbH, sgbU, sgbE, ygjV | 0 | 14
BasR | 26 | dgkA, fimB, glpA, glpB, glpC, hha, putA, waaH, eptA, emrD, tomB, qseC, arnE, csgG, csgF, csgE, csgD, cspI, arnB, arnC, arnA, arnD, arnT, arnF, qseB, yrbL | 24 | 2
YeiE | 15 | cysJ, infA, pflB, putA, argO, gltF, ftp, mdtF, yibQ, dcuC, ssuA, uspF, ydcT, sodC, yoaC | 4 | 11
IHF | 207 | aceA, aceB, aceK, osmE, cysH, cysI, cysJ, dmsA, dmsB, dmsC, dppA, envZ, fhlA, fimA, fimB, fimC, fimD, fimF, fimG, fimH, fis, flhC, flhD, fnr, folA, gcd, glnH, glnP, glnQ, glpQ, glpT, gltA, gltB, gltD, hemA, ihfA, ihfB, hipB, hipA, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hypA, hypB, hypC, hypD, hypE, icd, mtr, narG, narH, narI, narJ, narK, ndh, nmpC, ompC, ompR, pflB, pstS, phoU, prfA, proV, proW, proX, pspA, pspB, pspC, pspD, pspE, pstA, pstB, pstC, rpoH, sodA, sodB, sucA, sucB, sucC, sucD, tdcA, tdcB, tdcC, tyrP, tdcD, focA, dusB, fliA, fliZ, ubiC, ubiA, sufA, uspA, osmY, dps, acs, adiA, sra, gltF, ibpB, atoD, atoA, atoE, atoB, nuoM, nuoF, amiA, rpoE, yjbE, yjbF, yjbG, yjbH, pspG, actP, yjcH, htrE, yadV, fimI, yeiL, nuoA, nuoB, nuoC, nuoE, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoN, hemF, uspB, plaR, yiaK, yiaL, yiaM, yiaN, yiaO, lyxK, sgbH, sgbU, sgbE, rseA, prmC, ulaB, ulaC, cycA, dppB, dppC, dppD, dppF, glcB, hpt, micF, rseD, pspH, sdhX, narS, fimR2, glcF, csrB, glmY, csgG, csgF, csgE, csgD, paaZ, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, sufE, sufS, sufD, sufC, sufB, tcyJ, rseC, rseB, hycI, glcA, glcG, glcE, glcD, tdcG, tdcF, tdcE, dcuD, rtcA, rtcB, ulaG, ulaA, ulaD, ulaE, ulaF | 142 | 65
KdgR | 2 | eda, edd | 0 | 2
NikR | 6 | nikR, nikA, nikB, nikC, nikD, nikE | 0 | 6
Dan | 4 | ttdA, ttdB, ttdT, ttdR | 4 | 0
MqsA | 13 | rpoS, cspD, ypjJ, csgG, csgF, csgE, csgD, lfgA, lfgB, yfjZ, ypjF, mqsA, mqsR | 0 | 13
EbgR | 2 | ebgA, ebgC | 0 | 2
PtrR | 13 | puuC, gabD, gadB, acrA, acrB, puuB, acrR, gadA, puuA, puuE, yneG, glsB, sad | 6 | 7
AccB | 2 | accB, accC | 0 | 2
DhaR | 4 | dhaM, dhaL, dhaK, dhaR | 3 | 1
Cbl | 9 | ssuB, tauD, tauA, tauB, tauC, ssuC, ssuD, ssuA, ssuE | 9 | 0
